ot	addrs_numb	company
357	8	TPVision Europe B.V
358	8	"Observint Technologies, Inc."
359	8	MITAC INTERNATIONAL CORP.
360	8	"Hangzhou H3C Technologies Co., Limited"
361	8	"Parallels, Inc."
362	7	"Shenzhen Seavo Technology Co.,Ltd"
363	7	ARM
364	7	Lantronix
365	7	CE LINK LIMITED
366	7	"Brother Industries, LTD."
367	7	"Murata Manufacturing Co., Ltd."
368	7	"TPV Display Technology (Xiamen) Co.,Ltd."
369	7	CONNECT AS
370	7	"Roku, Inc"
371	7	"Shenzhen Maxtang Computer Co.,Ltd"
372	7	ALL Winner (Hong Kong) Limited
373	7	"Agile Communications, Inc."
374	7	"ICANN, IANA Department"
375	7	"KATSUJIMA CO., LTD."
376	7	Axis Communications AB
377	7	Liteon Technology Corporation
378	7	"RingBell Co.,Ltd."
379	7	"FOCUS H&S Co., Ltd."
380	7	Brocade Communications Systems LLC
381	7	TeraNXT Global India Pvt Ltd.
382	7	"Zhejiang Uniview Technologies Co., Ltd."
383	6	CITEL SpA
384	6	"Grandstream Networks, Inc."
385	6	Marusys
386	6	"CompuLab, Ltd."
387	6	"Emerson Network Power, Avocent Division"
388	6	Fida International (S) Pte Ltd
389	6	"SHEN ZHEN NUO XIN CHENG TECHNOLOGY co., Ltd."
390	6	TYAN COMPUTER CORP.
391	6	"DASAN CO., LTD."
392	6	Trex Enterprises
393	6	RLTech India Private Limited
394	6	"Micro-Star Int'l Co, Ltd"
395	6	TENO NETWORK TECHNOLOGIES COMPANY LIMITED
396	6	"Alcatel-Lucent Shanghai Bell Co., Ltd"
397	6	"TRENDnet, Inc."
398	6	ANOV France
399	6	"UNIONMAN TECHNOLOGY CO.,LTD"
400	6	"SHENZHEN ZHIBOTONG ELECTRONICS CO.,LTD"
401	6	"Shenzhen 10Gtek Transceivers Co., Limited"
402	6	Billion Electric Co. Ltd.
403	6	"Tsinghua Tongfang Legend Silicon Tech. Co., Ltd."
404	5	Circle Media Inc
405	5	"Shenzhen Qihoo Intelligent Technology Co.,Ltd"
406	5	Cavium Inc
407	5	CANON INC.
